SimTime;SentPk;RcvdPk;LostPk;PacketLoss
1506;61;56;5;8.19672
1507;62;58;4;6.45161
1508;62;56;6;9.67742
1509;62;57;5;8.06452
1510;62;58;4;6.45161
1511;64;57;7;10.9375
1512;63;61;2;3.1746
1513;63;58;5;7.93651
1514;65;58;7;10.7692
1515;67;59;8;11.9403
1516;66;59;7;10.6061
1517;68;60;8;11.7647
1518;68;60;8;11.7647
1519;68;60;8;11.7647
1520;68;58;10;14.7059
1521;72;63;9;12.5
1522;74;67;7;9.45946
1523;73;66;7;9.58904
1524;72;68;4;5.55556
1525;72;65;7;9.72222
1526;72;67;5;6.94444
1527;72;70;2;2.77778
1528;73;70;3;4.10959
1529;73;73;0;0
1530;71;68;3;4.22535
1531;73;67;6;8.21918
1532;73;72;1;1.36986
1533;75;72;3;4
1534;76;69;7;9.21053
1535;75;68;7;9.33333
1542;79;70;9;11.3924
1543;83;77;6;7.22892
1544;82;71;11;13.4146
1545;82;71;11;13.4146
1546;80;70;10;12.5
1547;84;74;10;11.9048
1548;82;74;8;9.7561
1549;82;73;9;10.9756
1550;83;76;7;8.43373
1556;83;88;-5;-6.0241
1557;84;76;8;9.52381
1558;84;81;3;3.57143
1559;85;83;2;2.35294
1560;85;79;6;7.05882
1561;85;81;4;4.70588
1562;86;79;7;8.13953
1563;86;80;6;6.97674
1564;85;82;3;3.52941
1574;85;75;10;11.7647
1575;85;76;9;10.5882
1576;82;73;9;10.9756
1577;81;73;8;9.87654
1578;77;72;5;6.49351
1579;77;72;5;6.49351
1580;76;70;6;7.89474
1581;75;71;4;5.33333
1582;73;71;2;2.73973
1583;71;67;4;5.6338
1584;71;65;6;8.4507
1585;70;66;4;5.71429
1586;70;63;7;10
1587;68;63;5;7.35294
1588;66;64;2;3.0303
1589;64;62;2;3.125
1590;63;61;2;3.1746
1591;64;62;2;3.125
1592;64;61;3;4.6875
1593;64;57;7;10.9375
1594;64;59;5;7.8125
1595;64;63;1;1.5625
1596;65;62;3;4.61538
1597;65;59;6;9.23077
1598;65;61;4;6.15385
1599;67;60;7;10.4478
1600;66;60;6;9.09091
1601;64;61;3;4.6875
1602;63;57;6;9.52381
1603;64;55;9;14.0625
1604;64;57;7;10.9375
1605;68;66;2;2.94118
1606;68;60;8;11.7647
1607;68;72;-4;-5.88235
1608;70;62;8;11.4286
1609;71;61;10;14.0845
1610;71;61;10;14.0845
1611;70;62;8;11.4286
1612;71;63;8;11.2676
1613;72;69;3;4.16667
1614;72;65;7;9.72222
1615;71;66;5;7.04225
1616;71;63;8;11.2676
1617;72;65;7;9.72222
1618;72;70;2;2.77778
1619;72;70;2;2.77778
1620;71;67;4;5.6338
1621;72;67;5;6.94444
1622;72;67;5;6.94444
1623;72;66;6;8.33333
1624;70;67;3;4.28571
1625;70;66;4;5.71429
1626;70;66;4;5.71429
1627;71;64;7;9.85915
1628;71;69;2;2.8169
1629;71;66;5;7.04225
1630;72;66;6;8.33333
1631;73;65;8;10.9589
1639;79;74;5;6.32911
1640;81;69;12;14.8148
1641;80;71;9;11.25
1642;81;67;14;17.284
1643;81;69;12;14.8148
1644;81;73;8;9.87654
1645;81;72;9;11.1111
